version,participant,session,condition,indivMean,test,paradigm,nback,materials,participants,days
v1, 5deeb085bd3f25000a0216de,1,ctl,0.375,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,1,1,exp,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,1,2,exp,1,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,10,1,ctl,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,10,2,ctl,0.375,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,13,1,ctl,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,13,2,ctl,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,17,1,ctl,0.25,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,17,2,ctl,0.125,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,2,1,exp,1,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,2,2,exp,1,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,20,1,exp,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,20,2,exp,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,22,1,exp,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,22,2,exp,1,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,23,1,ctl,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,23,2,ctl,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,24,1,ctl,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,24,2,ctl,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5b7e7eb78e8cd800017099f0,1,ctl,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5b7e7eb78e8cd800017099f0,2,ctl,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5bcf4bb932e46700016fd804,1,exp,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5bcf4bb932e46700016fd804,2,exp,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c2d0c8e9564bf00010257d3,1,ctl,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c2d0c8e9564bf00010257d3,2,ctl,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c2e190fa3e23b00017a3dff,1,exp,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c2e190fa3e23b00017a3dff,2,exp,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c3f53e45149ab0001dc54ce,1,ctl,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c3f53e45149ab0001dc54ce,2,ctl,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c4c7311620ba700010c0aa0,1,exp,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c4c7311620ba700010c0aa0,2,exp,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c879642f8e57d00168a286e,1,ctl,0.25,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5c879642f8e57d00168a286e,2,ctl,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d00e117eb8afc00156d3317,1,exp,0.375,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d00e117eb8afc00156d3317,2,exp,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d159d0a8078020016aa60b9,1,ctl,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d159d0a8078020016aa60b9,2,ctl,0.375,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d3067ad3c028b001782ab68,1,ctl,0.375,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d3067ad3c028b001782ab68,2,ctl,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d4cd07fcc0b630019a26789,1,ctl,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d4cd07fcc0b630019a26789,2,ctl,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d5e699e133c9c0015f04658,1,exp,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5d5e699e133c9c0015f04658,2,exp,1,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5dae21b2232c620011d6a06e,1,exp,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5dae21b2232c620011d6a06e,2,exp,0.875,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5dc1e197b4cc7814f1e88b9e,1,exp,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5dc1e197b4cc7814f1e88b9e,2,exp,0.75,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5dcfaad2dd9a740c2493fc28,1,ctl,0.375,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5dcfaad2dd9a740c2493fc28,2,ctl,0.25,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5de12e8bcc246f1801c63071,1,exp,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5de12e8bcc246f1801c63071,2,exp,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5deeb085bd3f25000a0216de,2,ctl,0.25,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5e5c993cd0394c474f7cc502,1,ctl,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5e5c993cd0394c474f7cc502,2,ctl,0.5,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5e67d9ed33e6a60542f4dfd7,1,ctl,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
v1,5e67d9ed33e6a60542f4dfd7,2,ctl,0.625,phrase,A,yes,TN2x2-Exp,Prolific,2
